用户属性,英文标识
测试用户,if_test
用户长id,user_id?
用户短id,?
KYC等级,kyc_level
KYC国家,kyc_country
注册时间,register_time
30天持仓均值,30days_avg_holdshares
30天手续费收入,30days_fee
最后一次交易时间间隔,interval_of_last_trade
60天内交易次数,tradetimes_in_60days
60天内交易金额,trademoney_in_60days
